day,time,category,slot1,slot2,slot3
1,4-5,early morning,0,0,0
1,5-6,early morning,0,0,0
1,6-7,early morning,0,0,0
1,7-8,early morning,0,0,0
1,8-9,morning,0,1,0
1,9-10,morning,1,0,1
1,10-11,morning,0,0,1
1,11-12,morning,1,0,1
1,12-13,afternoon,1,1,0
1,13-14,afternoon,0,1,1
1,14-15,afternoon,0,1,1
1,15-16,afternoon,1,1,1
1,16-17,evening,1,1,0
1,17-18,evening,1,1,1
1,18-19,evening,1,1,1
1,19-20,evening,1,1,1
1,20-21,night,0,0,0
1,21-22,night,1,0,0
1,22-23,night,0,0,1
1,23-24,night,0,1,1
1,0-1,midnight,0,0,0
1,1-2,midnight,0,0,0
1,2-3,midnight,0,0,1
1,3-4,midnight,0,1,0
2,4-5,early morning,0,0,0
2,5-6,early morning,0,0,0
2,6-7,early morning,0,0,0
2,7-8,early morning,0,0,0
2,8-9,morning,0,1,0
2,9-10,morning,1,1,0
2,10-11,morning,1,0,1
2,11-12,morning,0,0,0
2,12-13,afternoon,1,1,1
2,13-14,afternoon,1,1,1
2,14-15,afternoon,1,1,1
2,15-16,afternoon,1,1,1
2,16-17,evening,1,1,1
2,17-18,evening,1,1,1
2,18-19,evening,1,1,1
2,19-20,evening,1,1,1
2,20-21,night,1,1,1
2,21-22,night,0,0,1
2,22-23,night,0,0,0
2,23-24,night,0,1,1
2,0-1,midnight,0,0,0
2,1-2,midnight,0,0,0
2,2-3,midnight,0,0,1
2,3-4,midnight,0,0,0
3,4-5,early morning,0,0,0
3,5-6,early morning,0,0,0
3,6-7,early morning,0,0,0
3,7-8,early morning,0,0,0
3,8-9,morning,1,0,1
3,9-10,morning,1,0,1
3,10-11,morning,0,0,0
3,11-12,morning,1,0,0
3,12-13,afternoon,1,1,1
3,13-14,afternoon,1,1,1
3,14-15,afternoon,1,1,1
3,15-16,afternoon,1,1,0
3,16-17,evening,1,1,1
3,17-18,evening,1,1,1
3,18-19,evening,1,1,1
3,19-20,evening,1,1,1
3,20-21,night,0,0,0
3,21-22,night,0,1,0
3,22-23,night,0,0,1
3,23-24,night,1,1,1
3,0-1,midnight,0,0,0
3,1-2,midnight,0,0,0
3,2-3,midnight,0,0,1
3,3-4,midnight,0,0,0
4,4-5,early morning,1,0,1
4,5-6,early morning,0,0,0
4,6-7,early morning,1,0,0
4,7-8,early morning,0,0,0
4,8-9,morning,1,1,0
4,9-10,morning,1,0,0
4,10-11,morning,0,1,0
4,11-12,morning,1,1,1
4,12-13,afternoon,1,0,1
4,13-14,afternoon,1,1,1
4,14-15,afternoon,1,1,1
4,15-16,afternoon,1,1,1
4,16-17,evening,1,1,1
4,17-18,evening,1,1,1
4,18-19,evening,1,1,1
4,19-20,evening,1,1,1
4,20-21,night,1,1,1
4,21-22,night,0,1,0
4,22-23,night,0,0,1
4,23-24,night,0,1,0
4,0-1,midnight,1,0,0
4,1-2,midnight,0,0,0
4,2-3,midnight,0,0,0
4,3-4,midnight,0,0,0
5,4-5,early morning,0,0,0
5,5-6,early morning,1,0,0
5,6-7,early morning,0,0,0
5,7-8,early morning,0,0,0
5,8-9,morning,0,0,1
5,9-10,morning,0,0,0
5,10-11,morning,1,1,1
5,11-12,morning,0,0,0
5,12-13,afternoon,1,1,1
5,13-14,afternoon,1,1,1
5,14-15,afternoon,0,1,1
5,15-16,afternoon,1,0,1
5,16-17,evening,0,1,1
5,17-18,evening,1,1,1
5,18-19,evening,1,1,0
5,19-20,evening,1,1,1
5,20-21,night,1,1,1
5,21-22,night,0,0,0
5,22-23,night,0,0,1
5,23-24,night,1,1,1
5,0-1,midnight,0,0,1
5,1-2,midnight,1,0,0
5,2-3,midnight,0,0,0
5,3-4,midnight,0,0,0
6,4-5,early morning,0,0,0
6,5-6,early morning,0,0,0
6,6-7,early morning,0,0,0
6,7-8,early morning,0,0,0
6,8-9,morning,1,1,1
6,9-10,morning,1,1,0
6,10-11,morning,1,1,0
6,11-12,morning,1,1,1
6,12-13,afternoon,1,1,1
6,13-14,afternoon,1,1,1
6,14-15,afternoon,1,1,1
6,15-16,afternoon,1,1,1
6,16-17,evening,1,1,1
6,17-18,evening,1,1,1
6,18-19,evening,1,1,1
6,19-20,evening,1,1,0
6,20-21,night,0,1,1
6,21-22,night,0,0,0
6,22-23,night,0,1,0
6,23-24,night,0,1,1
6,0-1,midnight,0,1,0
6,1-2,midnight,0,0,0
6,2-3,midnight,0,0,0
6,3-4,midnight,0,0,0
7,4-5,early morning,0,0,0
7,5-6,early morning,0,1,0
7,6-7,early morning,0,0,0
7,7-8,early morning,0,0,0
7,8-9,morning,0,0,0
7,9-10,morning,1,0,0
7,10-11,morning,1,0,1
7,11-12,morning,1,0,1
7,12-13,afternoon,1,1,1
7,13-14,afternoon,1,1,1
7,14-15,afternoon,1,1,1
7,15-16,afternoon,1,1,1
7,16-17,evening,1,1,1
7,17-18,evening,1,1,1
7,18-19,evening,1,1,1
7,19-20,evening,1,1,1
7,20-21,night,0,1,0
7,21-22,night,0,1,1
7,22-23,night,0,0,0
7,23-24,night,1,1,1
7,0-1,midnight,1,0,0
7,1-2,midnight,0,0,0
7,2-3,midnight,1,1,0
7,3-4,midnight,0,0,0
8,4-5,early morning,0,1,0
8,5-6,early morning,0,0,0
8,6-7,early morning,0,0,0
8,7-8,early morning,0,0,0
8,8-9,morning,1,1,1
8,9-10,morning,0,0,1
8,10-11,morning,0,0,0
8,11-12,morning,1,0,0
